Affiliation,Word,Count,Window Size
Left Emotional,love,121,5
Left Emotional,film,102,5
Left Emotional,team,102,5
Left Emotional,real,100,5
Left Emotional,point,91,5
Left Emotional,found,87,5
Left Emotional,season,84,5
Left Emotional,friend,81,5
Left Emotional,series,80,5
Left Emotional,role,77,5
Left Political,trump,823,5
Left Political,president,621,5
Left Political,biden,473,5
Left Political,national,384,5
Left Political,political,352,5
Left Political,election,271,5
Left Political,campaign,266,5
Left Political,world,247,5
Left Political,right,232,5
Left Political,security,210,5
Right Emotional,center,154,5
Right Emotional,team,148,5
Right Emotional,professor,118,5
Right Emotional,senior,115,5
Right Emotional,archive,113,5
Right Emotional,recent,113,5
Right Emotional,history,106,5
Right Emotional,found,105,5
Right Emotional,reported,104,5
Right Emotional,season,103,5
Right Political,president,767,5
Right Political,trump,673,5
Right Political,national,466,5
Right Political,biden,462,5
Right Political,political,268,5
Right Political,security,268,5
Right Political,election,256,5
Right Political,campaign,246,5
Right Political,work,225,5
Right Political,covid,198,5
Left Emotional,love,148,6
Left Emotional,real,125,6
Left Emotional,team,124,6
Left Emotional,film,121,6
Left Emotional,point,116,6
Left Emotional,season,100,6
Left Emotional,series,99,6
Left Emotional,found,98,6
Left Emotional,history,94,6
Left Emotional,fact,94,6
Left Political,trump,992,6
Left Political,president,695,6
Left Political,biden,541,6
Left Political,national,456,6
Left Political,political,440,6
Left Political,election,344,6
Left Political,campaign,330,6
Left Political,right,303,6
Left Political,world,301,6
Left Political,security,260,6
Right Emotional,center,193,6
Right Emotional,team,187,6
Right Emotional,season,132,6
Right Emotional,archive,131,6
Right Emotional,senior,129,6
Right Emotional,recent,128,6
Right Emotional,professor,125,6
Right Emotional,history,125,6
Right Emotional,found,124,6
Right Emotional,heritage,123,6
Right Political,president,869,6
Right Political,trump,798,6
Right Political,national,592,6
Right Political,biden,532,6
Right Political,political,380,6
Right Political,security,314,6
Right Political,election,308,6
Right Political,campaign,294,6
Right Political,work,283,6
Right Political,covid,251,6
Left Emotional,love,179,7
Left Emotional,real,151,7
Left Emotional,film,147,7
Left Emotional,team,146,7
Left Emotional,point,133,7
Left Emotional,season,123,7
Left Emotional,series,118,7
Left Emotional,found,116,7
Left Emotional,history,113,7
Left Emotional,fact,112,7
Left Political,trump,1146,7
Left Political,president,785,7
Left Political,biden,617,7
Left Political,political,552,7
Left Political,national,540,7
Left Political,election,416,7
Left Political,right,364,7
Left Political,campaign,362,7
Left Political,world,343,7
Left Political,work,303,7
Right Emotional,president,963,7
Right Emotional,trump,945,7
Right Emotional,national,678,7
Right Emotional,biden,610,7
Right Emotional,political,432,7
Right Emotional,election,376,7
Right Emotional,security,358,7
Right Emotional,campaign,340,7
Right Emotional,covid,324,7
Right Emotional,work,313,7
Right Political,president,963,7
Right Political,trump,945,7
Right Political,national,678,7
Right Political,biden,610,7
Right Political,political,432,7
Right Political,election,376,7
Right Political,security,358,7
Right Political,campaign,340,7
Right Political,covid,324,7
Right Political,work,313,7
Left Emotional,love,210,8
Left Emotional,real,179,8
Left Emotional,film,168,8
Left Emotional,team,166,8
Left Emotional,point,147,8
Left Emotional,season,143,8
Left Emotional,found,142,8
Left Emotional,history,134,8
Left Emotional,fact,131,8
Left Emotional,series,130,8
Left Political,trump,1302,8
Left Political,president,873,8
Left Political,biden,682,8
Left Political,political,644,8
Left Political,national,628,8
Left Political,election,494,8
Left Political,right,420,8
Left Political,campaign,416,8
Left Political,world,398,8
Left Political,public,353,8
Right Emotional,center,257,8
Right Emotional,team,255,8
Right Emotional,season,203,8
Right Emotional,found,172,8
Right Emotional,heritage,166,8
Right Emotional,reported,162,8
Right Emotional,history,162,8
Right Emotional,recent,158,8
Right Emotional,archive,152,8
Right Emotional,senior,151,8
Right Political,president,1085,8
Right Political,trump,1076,8
Right Political,national,750,8
Right Political,biden,683,8
Right Political,political,530,8
Right Political,election,431,8
Right Political,security,396,8
Right Political,covid,385,8
Right Political,campaign,376,8
Right Political,work,357,8
Left Emotional,love,231,9
Left Emotional,real,203,9
Left Emotional,team,188,9
Left Emotional,film,185,9
Left Emotional,season,170,9
Left Emotional,point,169,9
Left Emotional,found,161,9
Left Emotional,history,153,9
Left Emotional,fact,153,9
Left Emotional,series,153,9
Left Political,trump,1483,9
Left Political,president,977,9
Left Political,political,760,9
Left Political,biden,753,9
Left Political,national,690,9
Left Political,election,572,9
Left Political,right,481,9
Left Political,campaign,460,9
Left Political,world,456,9
Left Political,public,399,9
Right Emotional,team,297,9
Right Emotional,center,279,9
Right Emotional,season,238,9
Right Emotional,found,198,9
Right Emotional,heritage,179,9
Right Emotional,history,177,9
Right Emotional,reported,174,9
Right Emotional,recent,173,9
Right Emotional,words,172,9
Right Emotional,foundation,166,9
Right Political,trump,1211,9
Right Political,president,1199,9
Right Political,national,862,9
Right Political,biden,760,9
Right Political,political,588,9
Right Political,election,497,9
Right Political,covid,443,9
Right Political,security,442,9
Right Political,campaign,438,9
Right Political,work,402,9
Left Emotional,love,264,10
Left Emotional,real,221,10
Left Emotional,team,216,10
Left Emotional,film,205,10
Left Emotional,point,193,10
Left Emotional,season,185,10
Left Emotional,fact,176,10
Left Emotional,found,175,10
Left Emotional,history,171,10
Left Emotional,series,164,10
Left Political,trump,1633,10
Left Political,president,1071,10
Left Political,political,872,10
Left Political,biden,822,10
Left Political,national,764,10
Left Political,election,656,10
Left Political,right,542,10
Left Political,world,510,10
Left Political,campaign,508,10
Left Political,public,454,10
Right Emotional,team,336,10
Right Emotional,center,304,10
Right Emotional,season,263,10
Right Emotional,found,209,10
Right Emotional,history,203,10
Right Emotional,heritage,202,10
Right Emotional,reported,195,10
Right Emotional,recent,194,10
Right Emotional,summer,183,10
Right Emotional,foundation,181,10
Right Political,trump,1329,10
Right Political,president,1309,10
Right Political,national,930,10
Right Political,biden,823,10
Right Political,political,640,10
Right Political,election,557,10
Right Political,covid,503,10
Right Political,campaign,480,10
Right Political,security,474,10
Right Political,work,450,10
